Transaction_Type,Amount,Initial_Balance_Sender,Initial_Balance_Receiver,Final_Balance_Sender,Final_Balance_Receiver,Fraud
Cash-In,1777.01,2745.1,3554.41,2745.1,5331.42,0
Cash-Out,33429.05,19590.21,5226.57,8766.16,5226.57,1
Transfer,0.8,14394.88,10333.9,14393.92,10334.78,1
Debit,275.14,5350.69,13315.63,5075.55,13315.63,0
Transfer,334.13,9377.91,11999.24,9043.78,12333.37,0
Cash-Out,1515.9,17078.66,9356.19,15562.76,9356.19,0
Debit,31100.29,8769.38,10161.97,0.0,10161.97,1
Debit,946.45,15402.98,7878.47,14456.53,7878.47,0
Cash-Out,24728.14,12577.19,2058.44,0.0,2058.44,1
Cash-In,2377.51,15193.08,15770.69,15193.08,18148.2,0
Cash-In,0.58,5586.11,8834.34,5586.11,8834.98,1
Transfer,4848.35,16577.97,5964.63,11729.62,10812.98,0
Payment,37260.93,10064.48,14178.35,940.87,55165.37,1
Transfer,4149.68,10955.92,3724.43,6806.24,7874.11,0
Cash-In,7146.25,7872.47,2583.26,7872.47,10444.14,1
Cash-In,2863.66,13988.6,9158.48,13988.6,12022.14,0
Transfer,32152.23,7898.61,8583.96,0.0,43951.41,1
Cash-In,19403.06,10947.33,4488.11,10947.33,25831.48,1
Cash-Out,48816.42,15382.58,17408.09,10505.8,17408.09,1
Debit,371.8,17707.54,14486.31,17335.74,14486.31,0
Cash-In,40809.65,15965.13,18034.92,15965.13,62925.54,1
Payment,20060.86,6119.9,16654.32,3223.43,38721.27,1
Payment,29.69,19992.51,1879.87,19962.82,1909.56,0
Cash-In,30717.56,12686.26,12553.92,12686.26,46343.24,1
Transfer,1568.08,9329.05,17127.33,7760.97,18695.41,0
Transfer,4590.14,1565.07,11385.2,0.0,15975.34,0
Payment,172.04,2196.03,684.96,2023.99,857.0,0
Cash-Out,199.92,288.37,3330.65,88.45,3330.65,0
Transfer,4491.75,984.0,19854.18,0.0,24345.93,0
Cash-Out,1881.49,15503.44,12835.6,13621.95,12835.6,0
Cash-Out,1913.98,15235.39,5889.49,13321.41,5889.49,0
Payment,310.36,1627.41,9821.56,1317.05,10131.92,0
Debit,623.28,17390.32,7268.44,16767.04,7268.44,0
Cash-Out,0.38,10633.31,2970.65,10632.85,2970.65,1
Transfer,0.45,7008.86,18926.9,5631.23,18927.4,1
Debit,34773.42,6968.11,17658.93,958.91,17658.93,1
Debit,0.03,13042.13,19791.46,12926.14,19791.46,1
Debit,9486.12,3491.0,16817.27,2333.77,16817.27,1
Payment,674.68,15753.45,8550.67,15078.77,9225.35,0
Transfer,3865.44,6941.76,18017.72,3076.32,21883.16,0
Payment,24460.28,1305.46,5327.72,0.0,32234.03,1
Debit,9538.76,833.32,9598.21,0.0,9598.21,1
Cash-Out,24234.67,9274.17,16506.61,214.84,16506.61,1
Cash-Out,1895.81,12030.3,19907.12,10134.49,19907.12,0
Payment,819.21,5726.33,6653.52,4907.12,7472.73,0
Cash-In,0.22,6315.74,4526.09,6315.74,4526.33,1
Debit,950.14,9695.17,4531.93,8745.03,4531.93,0
Cash-Out,1060.66,2082.18,2130.3,1021.52,2130.3,0
Transfer,41211.41,5538.09,2698.73,2739.51,48031.28,1
Cash-Out,0.46,14859.78,10197.32,9725.25,10197.32,1
Cash-In,0.92,11064.34,18145.19,11064.34,18146.2,1
Debit,0.45,14958.25,13280.89,14957.71,13280.89,1
Payment,744.78,10883.7,4109.21,10138.92,4853.99,0
Payment,49355.42,4968.23,12312.16,2174.84,66603.12,1
Debit,978.94,16264.06,894.83,15285.12,894.83,0
Debit,448.07,2874.73,2552.19,2426.66,2552.19,0
Cash-In,1910.94,5742.97,17787.81,5742.97,19698.75,0
Transfer,14309.04,10259.71,6300.37,6131.86,22040.31,1
Debit,41.89,165.76,2729.87,123.87,2729.87,0
Cash-Out,20367.54,4809.97,18638.76,4297.33,18638.76,1
Payment,331.32,17443.87,9858.65,17112.55,10189.97,0
Cash-Out,419.0,11481.49,3562.97,11062.49,3562.97,0
Cash-In,41008.0,12920.09,13901.81,12920.09,59010.61,1
Cash-Out,508.77,16043.73,9922.74,15534.96,9922.74,0
Debit,41055.14,317.79,7086.16,91.2,7086.16,1
Cash-Out,1031.77,11891.45,18997.51,10859.68,18997.51,0
Cash-Out,1614.3,15144.37,3326.94,13530.07,3326.94,0
Cash-Out,0.05,2932.66,7572.93,675.02,7572.93,1
Cash-Out,0.26,13281.15,17085.37,2387.72,17085.37,1
Payment,607.16,4571.71,11458.19,3964.55,12065.35,0
Cash-In,0.63,8667.38,13911.06,8667.38,13911.75,1
Debit,40890.54,2488.18,2546.97,734.41,2546.97,1
Payment,392.62,10402.14,2781.22,10009.52,3173.84,0
Payment,0.39,677.97,4034.58,304.78,4035.01,1
Debit,0.05,17372.92,19163.22,1631.13,19163.22,1
Transfer,0.29,153.19,13511.75,152.84,13512.07,1
Cash-Out,12042.99,3688.64,16682.39,3082.05,16682.39,1
Payment,604.95,9035.75,2146.84,8430.8,2751.79,0
Debit,9093.11,4121.88,7819.55,1538.29,7819.55,1
Payment,736.8,8898.43,2887.33,8161.63,3624.13,0
Payment,0.94,2169.07,3766.88,836.95,3767.91,1
Payment,24502.24,7629.12,19359.45,0.0,46311.91,1
Debit,43695.23,13154.18,15490.37,12501.39,15490.37,1
Cash-In,0.43,6557.31,18473.95,6557.31,18474.42,1
Debit,423.03,7760.33,8535.22,7337.3,8535.22,0
Cash-In,2655.62,6042.07,18100.93,6042.07,20756.55,0
Cash-Out,246.69,6357.05,1010.73,6110.36,1010.73,0
Cash-Out,44357.13,4718.38,4180.15,337.1,4180.15,1
Debit,928.39,2979.03,13632.3,2050.64,13632.3,0
Transfer,1241.84,7468.16,19978.98,6226.32,21220.82,0
Debit,25457.91,6603.63,3206.34,5885.49,3206.34,1
Cash-In,0.44,17083.15,5026.34,17083.15,5026.82,1
Cash-Out,23552.04,5794.29,6754.25,263.01,6754.25,1
Payment,38643.02,16274.4,2339.0,0.0,44846.32,1
Transfer,1529.33,13762.94,14459.37,12233.61,15988.7,0
Transfer,1549.26,9546.5,10435.43,7997.24,11984.69,0
Payment,35275.67,15120.89,18893.38,8098.24,57696.62,1
Payment,84.58,13441.16,4627.81,13356.58,4712.39,0
Transfer,0.57,692.18,1894.36,615.3,1894.99,1
Transfer,3898.06,11020.98,9483.39,7122.98,13381.99,0
Transfer,3167.59,149.57,14511.49,0.0,17679.08,0
Debit,447.96,4457.83,18862.45,4009.87,18862.45,0
Transfer,4785.56,15988.1,16674.12,11202.54,21459.68,0
Cash-In,1261.09,12481.24,10775.06,12481.24,12036.15,0
Transfer,0.46,918.63,9900.78,819.37,9901.29,1
Payment,551.86,582.54,6731.71,30.68,7283.57,0
Debit,46790.55,5341.58,7034.69,3685.62,7034.69,1
Payment,973.42,5506.41,9604.65,4532.99,10578.07,0
Transfer,4474.32,14074.79,5326.58,9600.47,9800.9,0
Transfer,2439.04,6176.18,10263.0,3737.14,12702.04,0
Cash-Out,576.01,3018.02,15685.77,2442.01,15685.77,0
Debit,6764.74,10630.86,8364.76,2513.17,8364.76,1
Transfer,540.6,11644.19,6782.66,11103.59,7323.26,0
Transfer,2721.37,13990.12,13668.99,11268.75,16390.36,0
Transfer,3867.97,14338.76,4600.9,10470.79,8468.87,0
Payment,960.99,12297.27,14086.52,11336.28,15047.51,0
Cash-Out,407.67,5730.99,14495.2,5323.32,14495.2,0
Transfer,4455.95,447.85,11658.17,0.0,16114.12,0
Debit,32372.99,9725.69,7037.47,7173.8,7037.47,1
Transfer,18103.17,9612.82,229.44,6270.0,20142.93,1
Debit,968.9,1208.06,13943.96,239.16,13943.96,0
Payment,500.55,4388.34,4309.17,3887.79,4809.72,0
Transfer,4731.44,6901.02,11408.37,2169.58,16139.81,0
Payment,171.82,4910.46,2955.07,4738.64,3126.89,0
Payment,0.27,11240.61,12155.5,8374.91,12155.8,1
Cash-Out,904.09,2570.09,6485.6,1666.0,6485.6,0
Payment,407.11,12378.7,17914.33,11971.59,18321.44,0
Cash-Out,41389.13,54.38,13994.5,6.02,13994.5,1
Debit,521.81,3390.32,4791.15,2868.51,4791.15,0
Transfer,637.87,11625.01,13562.97,10987.14,14200.84,0
Cash-Out,21995.99,9472.68,10437.47,1356.16,10437.47,1
Debit,336.43,16742.19,8115.34,16405.76,8115.34,0
Debit,47.7,3742.66,16218.6,3694.96,16218.6,0
Debit,758.23,619.45,4551.98,0.0,4551.98,0
Transfer,43930.87,11883.43,11376.39,721.24,59700.35,1
Cash-In,2562.09,2319.87,318.09,2319.87,2880.18,0
Cash-In,423.48,4990.22,14773.14,4990.22,15196.62,0
Cash-Out,1666.07,7215.27,7569.82,5549.2,7569.82,0
Cash-Out,28554.38,3197.86,19043.51,103.64,19043.51,1
Payment,46648.78,3038.08,5962.19,0.0,57275.85,1
Debit,15648.32,3767.06,9744.53,2226.41,9744.53,1
Debit,31571.44,1808.14,2779.26,0.0,2779.26,1
Debit,35531.76,12443.06,5361.58,0.0,5361.58,1
Cash-Out,786.98,57.38,16678.21,0.0,16678.21,0
Cash-In,2420.95,4420.44,15764.21,4420.44,18185.16,0
Debit,752.89,12895.88,17207.75,12142.99,17207.75,0
Cash-Out,1297.77,11715.9,15251.55,10418.13,15251.55,0
Cash-In,0.28,14687.98,1194.38,14687.98,1194.69,1
Debit,23780.43,8495.15,11286.85,0.0,11286.85,1
Debit,22568.57,14472.87,17032.26,1900.3,17032.26,1
Cash-Out,1628.38,4708.21,13460.0,3079.83,13460.0,0
Payment,44456.88,17767.15,7837.46,11868.99,56740.03,1
Transfer,1449.23,12883.52,11246.0,11434.29,12695.23,0
Payment,528.4,4020.38,4248.02,3491.98,4776.42,0
Payment,111.07,6198.98,17404.87,6087.91,17515.94,0
Debit,46198.26,16965.82,8592.26,6292.15,8592.26,1
Cash-In,2751.15,9895.43,2063.49,9895.43,4814.64,0
Cash-Out,346.48,10140.56,8840.83,9794.08,8840.83,0
Transfer,267.18,13697.56,12585.15,13430.38,12852.33,0
Cash-Out,23868.01,19240.49,6934.3,9539.12,6934.3,1
Debit,360.98,13517.0,4218.46,13156.02,4218.46,0
Cash-Out,1137.03,5161.01,11578.55,4023.98,11578.55,0
Transfer,31302.92,15316.05,5846.24,0.0,40279.45,1
Cash-Out,52.51,4226.45,2794.56,4173.94,2794.56,0
Payment,617.71,5778.53,11237.19,5160.82,11854.9,0
Cash-Out,40533.94,3861.67,9413.06,0.0,9413.06,1
Payment,373.43,5569.97,14592.73,5196.54,14966.16,0
Payment,199.44,4398.2,9046.42,4198.76,9245.86,0
Transfer,27581.96,15961.64,18281.47,10648.71,48621.63,1
Cash-In,16432.72,16209.36,17786.5,16209.36,35862.49,1
Payment,916.91,7696.17,15947.88,6779.26,16864.79,0
Payment,543.78,6767.53,17230.83,6223.75,17774.61,0
Debit,31119.95,9267.82,11134.13,0.0,11134.13,1
Transfer,4636.72,16210.33,1748.96,11573.61,6385.68,0
Cash-Out,1305.87,13243.75,4104.53,11937.88,4104.53,0
Transfer,3032.84,6527.14,9588.66,3494.3,12621.5,0
Payment,31371.4,5818.71,5771.31,2299.43,40279.85,1
Debit,8636.79,9244.62,12760.89,3602.61,12760.89,1
Cash-In,29580.72,3812.97,3858.56,3812.97,36397.35,1
Debit,5114.11,17611.95,1665.61,11475.02,1665.61,1
Transfer,898.63,8610.91,14615.43,7712.28,15514.06,0
Debit,37.25,12746.01,10905.85,12708.76,10905.85,0
Cash-In,40921.98,8978.51,7308.56,8978.51,52322.74,1
Cash-Out,459.39,419.35,16602.91,0.0,16602.91,0
Debit,906.93,12584.4,15485.22,11677.47,15485.22,0
Transfer,747.64,6824.88,9877.36,6077.24,10625.0,0
Transfer,8803.89,1024.4,16773.68,431.22,26457.96,1
Debit,849.18,2294.98,3111.81,1445.8,3111.81,0
Debit,43615.51,7952.95,166.91,5415.65,166.91,1
Payment,586.12,622.85,12006.63,37.71,12593.62,0
Debit,28267.19,12684.45,6489.9,5221.76,6489.9,1
Payment,22570.23,13919.6,11136.76,11522.25,35964.01,1
Payment,414.77,2462.57,15994.5,2047.8,16409.27,0
Payment,35493.03,4454.63,1719.67,105.3,40762.0,1
Debit,13372.83,2553.83,14778.49,1276.03,14778.49,1
Transfer,1037.55,5246.14,15370.34,4208.59,16407.89,0
Cash-Out,12745.26,16322.82,17070.6,8830.51,17070.6,1
Cash-In,1694.32,16118.54,6345.46,16118.54,8039.78,0
Debit,26753.44,8860.65,17666.02,378.81,17666.02,1
Cash-Out,837.18,3754.51,3645.44,2917.33,3645.44,0
Payment,25548.74,7794.27,11602.93,4956.45,39706.54,1
Cash-In,0.69,3022.13,5604.94,3022.13,5605.7,1
Cash-Out,0.53,13882.6,5662.17,12761.93,5662.17,1
Cash-Out,0.07,17081.37,1486.43,17081.29,1486.43,1
Debit,919.98,5852.05,18060.01,4932.07,18060.01,0
Payment,0.41,5163.41,15708.58,1242.88,15709.03,1
Cash-In,2433.32,8814.24,3277.8,8814.24,5711.12,0
Transfer,554.38,1354.31,11160.06,799.93,11714.44,0
Debit,0.97,7482.62,1455.74,7481.46,1455.74,1
Cash-In,2738.4,2409.91,10526.71,2409.91,13265.11,0
Cash-In,2655.89,6307.62,5240.11,6307.62,7896.0,0
Cash-In,800.83,2338.72,6065.56,2338.72,6866.39,0
Cash-Out,0.77,8192.38,5449.91,3521.03,5449.91,1
Cash-In,9654.31,1379.96,13814.33,1379.96,24434.07,1
Payment,15661.34,17717.78,2807.24,15663.42,20034.71,1
Cash-In,1798.7,18253.56,9637.85,18253.56,11436.55,0
Payment,549.7,3803.5,1321.77,3253.8,1871.47,0
Debit,13719.14,2856.95,16021.76,1632.38,16021.76,1
Cash-In,21318.59,11455.58,1121.32,11455.58,24571.77,1
Cash-Out,1368.38,1257.71,305.25,0.0,305.25,0
Transfer,34229.83,14247.51,532.27,13276.24,38185.08,1
Payment,907.31,6694.35,19786.62,5787.04,20693.93,0
Cash-Out,666.92,11227.76,18909.55,10560.84,18909.55,0
Transfer,40605.51,11296.97,12576.27,0.0,57242.33,1
Transfer,12368.25,19646.62,7497.97,11610.4,21103.05,1
Cash-In,2169.57,8076.93,2273.62,8076.93,4443.19,0
Payment,855.96,2503.82,14421.39,1647.86,15277.35,0
Transfer,20816.36,18708.71,840.58,1688.92,23738.58,1
Debit,30623.4,13733.69,1178.24,0.0,1178.24,1
Transfer,0.53,15895.21,19311.3,5009.31,19311.88,1
Cash-In,2182.58,13937.92,6391.95,13937.92,8574.53,0
Payment,652.05,18465.59,9348.02,17813.54,10000.07,0
Cash-In,35.6,7024.74,7271.41,7024.74,7307.01,0
Payment,252.43,2865.53,7653.83,2613.1,7906.26,0
Payment,571.91,17048.46,8899.8,16476.55,9471.71,0
Cash-Out,8333.93,3359.84,2239.35,0.0,2239.35,1
Cash-Out,49035.83,5431.55,5670.45,1772.08,5670.45,1
Cash-In,2607.71,871.41,14151.04,871.41,16758.75,0
Cash-In,144.35,19244.23,10535.81,19244.23,10680.16,0
Transfer,2647.98,8646.73,6266.7,5998.75,8914.68,0
Transfer,204.61,8290.57,18419.21,8085.96,18623.82,0
Debit,35.77,11535.7,19622.86,11499.93,19622.86,0
Cash-In,841.1,15275.38,10284.34,15275.38,11125.44,0
Cash-Out,444.52,19768.95,7819.89,19324.43,7819.89,0
Debit,48051.28,16449.42,13801.05,10889.21,13801.05,1
Debit,740.09,6611.98,17290.74,5871.89,17290.74,0
Cash-In,1979.97,17396.0,6532.59,17396.0,8512.56,0
Transfer,35679.16,10046.76,18289.07,5443.32,57536.15,1
Cash-Out,849.78,1716.51,2502.96,866.73,2502.96,0
Cash-In,14523.73,1208.34,17724.88,1208.34,33700.98,1
Cash-In,18937.68,5265.96,15286.51,5265.96,36117.96,1
Debit,796.76,17157.5,11174.18,16360.74,11174.18,0
Transfer,4633.92,4863.01,18517.89,229.09,23151.81,0
Cash-Out,977.67,9240.31,10470.51,8262.64,10470.51,0
Debit,555.19,15996.9,16326.48,15441.71,16326.48,0
Cash-In,45764.4,11474.19,18201.38,11474.19,68542.22,1
Debit,27400.08,778.69,17341.42,662.8,17341.42,1
Debit,9548.95,4153.76,6346.37,0.0,6346.37,1
Debit,259.61,4906.78,11806.91,4647.17,11806.91,0
Debit,436.44,2267.88,4905.1,1831.44,4905.1,0
Debit,27696.77,14756.52,11042.88,10884.42,11042.88,1
Debit,329.42,14474.62,5056.49,14145.2,5056.49,0
Cash-In,393.37,10214.98,3608.16,10214.98,4001.53,0
Cash-In,95.91,12154.44,3973.67,12154.44,4069.58,0
Debit,278.2,3996.21,5671.72,3718.01,5671.72,0
Debit,564.5,13557.36,16612.87,12992.86,16612.87,0
Cash-In,0.92,6011.27,7186.18,6011.27,7187.19,1
Debit,30.86,16161.04,5708.24,16130.18,5708.24,0
Cash-Out,632.88,18084.69,235.26,17451.81,235.26,0
Payment,59.1,16569.42,9037.85,16510.32,9096.95,0
Cash-In,1222.91,18459.1,15397.85,18459.1,16620.76,0
Cash-Out,206.47,7400.65,16289.44,7194.18,16289.44,0
Cash-Out,569.54,13553.72,10514.35,12984.18,10514.35,0
Cash-In,2152.5,11648.46,12331.14,11648.46,14483.64,0
Debit,30172.12,14703.5,10923.42,13244.84,10923.42,1
Cash-Out,0.99,15449.92,2245.87,10204.69,2245.87,1
Cash-In,1665.22,3002.89,8628.94,3002.89,10294.16,0
Payment,12870.35,6750.6,3773.64,6267.51,17931.03,1
Cash-In,528.94,9397.39,15049.15,9397.39,15578.09,0
Transfer,39355.46,14082.19,17642.04,11552.89,60933.05,1
Payment,0.99,12846.82,425.73,2736.91,426.82,1
Cash-Out,600.17,13313.18,17369.27,12713.01,17369.27,0
Debit,38146.05,6834.95,14023.0,0.0,14023.0,1
Cash-In,1857.64,16277.85,6624.08,16277.85,8481.72,0
Payment,23990.01,5645.54,7006.62,3986.51,33395.63,1
Debit,385.09,13084.33,5934.83,12699.24,5934.83,0
Debit,18.66,11021.5,339.84,11002.84,339.84,0
Cash-In,0.19,11997.89,7616.56,11997.89,7616.77,1
Payment,41187.5,9406.12,1875.32,0.0,47181.57,1
Payment,0.35,4298.3,1728.21,3638.57,1728.6,1
Debit,45738.28,1779.27,4122.4,1222.84,4122.4,1
Debit,102.0,5031.91,18345.38,4929.91,18345.38,0
Payment,30351.06,15997.73,15011.19,0.0,48397.36,1
Cash-Out,927.48,11161.34,14893.17,10233.86,14893.17,0
Cash-Out,1065.52,18649.61,7176.71,17584.09,7176.71,0
Debit,0.91,8241.08,18830.52,4498.32,18830.52,1
Cash-Out,38394.56,1402.82,4309.98,934.38,4309.98,1
Debit,0.63,13353.44,1511.95,2986.48,1511.95,1
Cash-Out,1437.91,1997.67,8308.55,559.76,8308.55,0
Cash-In,18095.72,14547.46,1450.93,14547.46,21356.22,1
Payment,0.51,9570.46,3246.74,9299.0,3247.3,1
Debit,60.55,6769.63,10494.72,6709.08,10494.72,0
Transfer,15156.08,7320.54,9190.14,2445.52,25861.83,1
Cash-In,2242.78,8215.24,381.41,8215.24,2624.19,0
Debit,182.17,5938.04,4252.1,5755.87,4252.1,0
Cash-In,34444.69,5675.21,10900.98,5675.21,48790.14,1
Cash-Out,1122.64,18645.65,8136.75,17523.01,8136.75,0
Transfer,102.03,6269.18,2960.5,6167.15,3062.53,0
Payment,771.05,2653.42,12591.03,1882.37,13362.08,0
Cash-In,0.3,5141.39,11768.36,5141.39,11768.69,1
Payment,0.78,2673.44,17751.85,2672.5,17752.71,1
Cash-In,1310.61,14418.97,13746.84,14418.97,15057.45,0
Cash-In,1372.24,7241.85,10336.79,7241.85,11709.03,0
Payment,609.83,2875.36,6334.26,2265.53,6944.09,0
Payment,187.0,11178.6,17244.58,10991.6,17431.58,0
Payment,534.4,274.73,18040.3,0.0,18574.7,0
Cash-Out,0.05,5018.44,14819.87,2170.91,14819.87,1
Cash-In,2937.77,6960.28,9502.73,6960.28,12440.5,0
Payment,0.22,16800.55,19946.31,2320.2,19946.55,1
Debit,198.73,19812.31,740.39,19613.58,740.39,0
Cash-In,0.61,18859.41,8058.31,18859.41,8058.98,1
Debit,389.92,19112.27,15706.28,18722.35,15706.28,0
Cash-Out,488.74,6221.51,9949.9,5732.77,9949.9,0
Cash-Out,208.63,9505.35,16538.13,9296.72,16538.13,0
Cash-In,1166.82,12199.05,5059.27,12199.05,6226.09,0
Payment,702.72,12815.32,17866.85,12112.6,18569.57,0
Debit,0.3,13275.53,2887.53,13275.17,2887.53,1
Cash-Out,1585.94,18051.69,8125.1,16465.75,8125.1,0
Cash-Out,717.42,11982.72,13014.82,11265.3,13014.82,0
Cash-Out,0.79,12159.04,12957.38,1096.1,12957.38,1
Cash-Out,500.95,12544.79,11013.95,12043.84,11013.95,0
Transfer,49850.68,18131.2,17168.46,448.56,72004.21,1
Debit,723.66,1146.01,17842.06,422.35,17842.06,0
Cash-Out,1642.25,13872.23,7662.8,12229.98,7662.8,0
Cash-Out,30053.77,15332.75,17406.01,8446.6,17406.01,1
Payment,638.21,152.88,6902.46,0.0,7540.67,0
Cash-Out,1170.31,341.03,13414.46,0.0,13414.46,0
Payment,747.62,876.63,12848.35,129.01,13595.97,0
Transfer,965.46,3223.17,14325.51,2257.71,15290.97,0
Cash-In,1121.63,9730.15,6012.86,9730.15,7134.49,0
Transfer,711.02,12585.54,16500.03,11874.52,17211.05,0
Cash-Out,0.47,1951.32,1939.28,1880.8,1939.28,1
Cash-Out,1365.87,14571.67,6279.44,13205.8,6279.44,0
Debit,97.34,2070.33,17013.83,1972.99,17013.83,0
Debit,657.95,16039.8,7156.55,15381.85,7156.55,0
Debit,87.3,2219.06,5343.56,2131.76,5343.56,0
Transfer,3407.51,8968.89,8901.02,5561.38,12308.53,0
Debit,13064.79,18977.25,19518.38,3142.06,19518.38,1
Debit,971.31,1377.5,11931.24,406.19,11931.24,0
Cash-Out,0.3,556.56,18945.68,370.53,18945.68,1
Transfer,0.23,9130.39,12911.47,3451.84,12911.72,1
Transfer,4414.62,19823.83,19205.12,15409.21,23619.74,0
Debit,927.09,16876.62,7986.96,15949.53,7986.96,0
Debit,0.45,11047.94,14023.12,438.59,14023.12,1
Transfer,49237.44,7258.92,16620.71,0.0,70781.89,1
Transfer,0.45,10795.91,13958.67,3974.42,13959.17,1
Payment,19107.07,9927.94,18503.75,0.0,39521.53,1
Payment,690.86,3659.92,5072.79,2969.06,5763.65,0
Cash-In,8245.4,6624.05,1481.75,6624.05,10551.69,1
Transfer,5130.59,13162.79,13871.13,893.14,19514.78,1
Transfer,40907.04,2605.8,5508.84,0.0,50506.58,1
Cash-Out,1823.04,9405.63,3733.76,7582.59,3733.76,0
Cash-Out,0.31,183.23,14059.24,182.86,14059.24,1
Payment,685.76,19121.21,7946.0,18435.45,8631.76,0
Cash-Out,699.28,339.77,12654.39,0.0,12654.39,0
Cash-Out,1440.41,13029.42,3575.69,11589.01,3575.69,0
Debit,303.2,15724.03,13667.6,15420.83,13667.6,0
Cash-In,1426.38,12049.13,10230.45,12049.13,11656.83,0
Debit,314.13,13345.45,3036.98,13031.32,3036.98,0
Transfer,4579.65,15992.52,18379.51,11412.87,22959.16,0
Debit,903.93,11346.81,5723.5,10442.88,5723.5,0
Cash-Out,855.76,18622.87,680.78,17767.11,680.78,0
Transfer,114.26,2690.15,15948.37,2575.89,16062.63,0
Payment,0.12,277.97,9438.25,277.83,9438.38,1
Cash-Out,498.51,13040.31,7791.0,12541.8,7791.0,0
Payment,0.2,12058.61,13553.51,10171.71,13553.73,1
Transfer,4472.51,8569.43,9792.34,4096.92,14264.85,0
Payment,866.84,5903.14,13823.54,5036.3,14690.38,0
Transfer,42726.52,13370.07,18046.17,0.0,65045.34,1
Payment,19897.71,19917.07,3853.56,0.0,25741.04,1
Cash-Out,219.72,1085.22,2561.94,865.5,2561.94,0
Debit,234.69,2290.69,2265.73,2056.0,2265.73,0
Transfer,4289.26,14013.74,657.89,9724.48,4947.15,0
Debit,40516.77,3444.28,225.37,400.94,225.37,1
Debit,0.72,479.64,15143.58,478.78,15143.58,1
Debit,801.08,6319.02,4577.58,5517.94,4577.58,0
Payment,316.92,2538.14,16397.36,2221.22,16714.28,0
Cash-In,0.75,18542.34,18521.52,18542.34,18522.35,1
Cash-In,1935.27,18814.64,6576.08,18814.64,8511.35,0
Cash-Out,40110.69,278.9,3371.55,0.0,3371.55,1
Cash-Out,302.88,2102.59,3365.9,1799.71,3365.9,0
Transfer,3450.86,9091.65,5972.5,5640.79,9423.36,0
Cash-Out,646.2,19664.37,12012.22,19018.17,12012.22,0
Transfer,23293.81,15457.66,4369.65,6485.07,29992.84,1
Debit,202.69,10408.65,5730.38,10205.96,5730.38,0
Transfer,3283.36,3347.38,16527.6,64.02,19810.96,0
Debit,47.18,2798.47,8932.96,2751.29,8932.96,0
Payment,988.0,8782.96,18963.48,7794.96,19951.48,0
Transfer,2285.62,10959.52,5850.54,8673.9,8136.16,0
Cash-In,611.54,10873.95,19912.12,10873.95,20523.66,0
Cash-Out,6063.96,15691.64,2157.36,12704.43,2157.36,1
Debit,38293.57,7258.91,1899.46,6215.18,1899.46,1
Payment,842.26,14387.22,18560.12,13544.96,19402.38,0
Cash-Out,34457.57,2940.82,6183.02,684.54,6183.02,1
Cash-In,79.83,14075.63,4896.28,14075.63,4976.11,0
Cash-In,29751.36,17175.67,7421.03,17175.67,40147.53,1
Transfer,997.38,7354.64,14950.37,6357.26,15947.75,0
Cash-In,1201.98,13367.2,3274.57,13367.2,4476.55,0
Payment,20002.87,7227.98,17471.91,0.0,39475.07,1
Cash-In,0.2,2574.73,8607.53,2574.73,8607.75,1
Payment,26518.73,19635.99,10225.45,0.0,39396.05,1
Debit,31526.08,15248.74,18485.63,1441.59,18485.63,1
Cash-Out,550.3,19598.01,10245.34,19047.71,10245.34,0
Cash-Out,1104.78,10432.2,1601.73,9327.42,1601.73,0
Transfer,49668.86,18003.77,9906.73,11591.54,64542.48,1
Debit,503.18,1655.53,15087.65,1152.35,15087.65,0
Cash-In,0.06,7764.61,7897.18,7764.61,7897.25,1
Transfer,15618.8,18136.05,18036.8,0.0,35217.48,1
Payment,42303.84,17313.52,3734.76,0.0,50268.98,1
Debit,32943.88,4591.96,15139.12,0.0,15139.12,1
Cash-Out,0.44,5372.09,419.03,5371.56,419.03,1
Cash-In,0.81,12695.13,710.78,12695.13,711.67,1
Debit,585.65,14544.57,19936.65,13958.92,19936.65,0
Cash-Out,17554.39,10110.29,1740.39,4503.25,1740.39,1
Cash-Out,15877.52,2632.58,13724.12,559.72,13724.12,1
Payment,509.03,11483.48,10443.15,10974.45,10952.18,0
Payment,549.75,17404.99,7276.24,16855.24,7825.99,0
Debit,15098.92,11687.36,2185.34,0.0,2185.34,1
Transfer,454.22,19821.69,16430.43,19367.47,16884.65,0
Transfer,2261.98,15406.42,15298.14,13144.44,17560.12,0
Payment,0.4,1191.23,8204.83,1190.75,8205.27,1
Cash-In,38790.35,6978.31,2365.01,6978.31,45034.4,1
Debit,17664.36,5784.44,10918.1,3173.93,10918.1,1
Payment,603.32,10.55,13706.11,0.0,14309.43,0
Cash-Out,1516.0,6783.33,10847.64,5267.33,10847.64,0
Cash-In,1266.34,4414.48,14707.02,4414.48,15973.36,0
Transfer,8086.44,500.19,17012.97,0.0,25908.05,1
Payment,0.13,7898.99,12283.55,3117.52,12283.69,1
Debit,6399.42,7893.72,16500.41,4668.62,16500.41,1
Debit,53.76,4282.97,19092.2,4229.21,19092.2,0
Cash-Out,648.21,19082.75,345.6,18434.54,345.6,0
Cash-In,368.64,14089.93,7724.49,14089.93,8093.13,0
Debit,819.59,10956.39,7969.28,10136.8,7969.28,0
Transfer,3189.12,15288.95,13262.31,12099.83,16451.43,0
Cash-In,1650.12,17223.46,10441.61,17223.46,12091.73,0
